id_municipio,nome,id_microrregiao
210260,Cândido Mendes,21007
210055,Amapá do Maranhão,21007
211400,Zé Doca,21008
210990,Santa Inês,21008
210200,Bom Jardim,21008
211102,São João do Carú,21008
210735,Nova Olinda do Maranhão,21008
210465,Governador Newton Bello,21008
210047,Alto Alegre do Pindaré,21008
210087,Araguanã,21008
211227,Tufilândia,21008
210850,Pindaré-Mirim,21008
211000,Santa Luzia,21008
210040,Altamira do Maranhão,21008
210596,Lagoa Grande do Maranhão,21008
210635,Marajá do Sena,21008
210810,Paulo Ramos,21008
210215,Brejo de Areia,21008
210570,Lago da Pedra,21008
211300,Vitorino Freire,21008
211003,Santa Luzia do Paruá,21008
210923,Presidente Médici,21008
210203,Bom Jesus das Selvas,21008
210232,Buriticupu,21008
210325,Cidelândia,21009
210700,Montes Altos,21009
211285,Vila Nova dos Martírios,21009
210235,Buritirana,21009
210375,Davinópolis,21009
211153,São Pedro da Água Branca,21009
210955,Ribamar Fiquene,21009
210060,Amarante do Maranhão,21009
210598,Lajeado Novo,21009
210455,Governador Edison Lobão,21009
211176,Senador La Rocque,21009
210530,Imperatriz,21009
210550,João Lisboa,21009
210542,Itinga do Maranhão,21009
211085,São Francisco do Brejão,21009
210005,Açailândia,21009
210870,Pio XII,21010
210590,Lago Verde,21010
211172,Satubinha,21010
211150,São Mateus do Maranhão,21010
210207,Bom Lugar,21010
210740,Olho d'Água das Cunhãs,21010
211140,São Luís Gonzaga do Maranhão,21010
210120,Bacabal,21010
211167,São Roberto,21010
210520,Igarapé Grande,21010
210890,Poção de Pedras,21010
211163,São Raimundo do Doca Bezerra,21010
210193,Bernardo do Mearim,21010
210580,Lago do Junco,21010
210594,Lago dos Rodrigues,21010
210820,Pedreiras,21010
210400,Esperantinópolis,21010
211030,Santo Antônio dos Lopes,21010
210600,Lima Campos,21010
211223,Trizidela do Vale,21010
210560,Joselândia,21011
210975,Santa Filomena do Maranhão,21011
211230,Tuntum,21011
210547,Jenipapo dos Vieiras,21011
210535,Itaipava do Grajaú,21011
210160,Barra do Corda,21011
